中央台,#genre#
眉山综合,http://101.207.178.2/pltv/88888888/224/3221227539/1.m3u8
绵阳新闻,http://101.207.178.2/pltv/88888888/224/3221227521/1.m3u8
内江综合,http://101.207.178.2/pltv/88888888/224/3221227535/1.m3u8
遂宁综合,http://101.207.178.2/pltv/88888888/224/3221227533/1.m3u8
新闻综合,http://101.207.178.2/pltv/88888888/224/3221227527/1.m3u8
宜宾新闻综合,http://101.207.178.2/pltv/88888888/224/3221227541/1.m3u8
雅安新闻综合,http://101.207.178.2/pltv/88888888/224/3221227559/1.m3u8
新闻综合,http://101.207.178.2/pltv/88888888/224/3221227537/1.m3u8
新闻综合,http://101.207.178.2/pltv/88888888/224/3221227547/1.m3u8
广元综合,http://101.207.178.2/pltv/88888888/224/3221227531/1.m3u8
纪录频道,#genre#
冬奥纪实,http://101.207.178.2/pltv/88888888/224/3221227341/1.m3u8
上海纪实人文,http://101.207.178.2/pltv/88888888/224/3221227349/1.m3u8
金鹰纪实,http://101.207.178.2/pltv/88888888/224/3221227371/1.m3u8
NewTV精品纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225888/1.m3u8
全纪实,http://223.110.243.135/PLTV/2/224/3221226414/index.m3u8
国家地理野生,http://cloud-play.hhalloy.com/live/a4540237835700ece1fc1e54ce826125.flv
美食星球,http://cloud-play.hhalloy.com/live/7f2e2b78b85222886ccb3792c905408e.flv
历史频道HD,http://192.240.127.34:1935/live/cs14.stream/media_1254.m3u8
BBC Lifestyle,http://cloud-play.hhalloy.com/live/5e80f4a9e17c991df381030c65856687.flv
求索记录,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228972/01.m3u8?fmt=ts2hls
求索科学,http://112.17.40.200/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228975/01.m3u8?fmt=ts2hls
求索动物,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228980/01.m3u8?fmt=ts2hls
求索生活,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228983/01.m3u8?fmt=ts2hls
iHOT爱旅行,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230052/index.m3u8
iHOT爱探索,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230112/index.m3u8
NewTV军事评论,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8
卫视频道,#genre#
河南卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=019&Provider_id=&Pcontent_id=index.m3u8
安徽卫视,http://101.207.178.2/pltv/88888888/224/3221227363/1.m3u8
北京卫视,http://101.207.178.2/pltv/88888888/224/3221227397/1.m3u8
重庆卫视,http://101.207.178.2/pltv/88888888/224/3221227359/1.m3u8
东方卫视,http://101.207.178.2/pltv/88888888/224/3221227401/1.m3u8
东南卫视,http://101.207.178.2/pltv/88888888/224/3221227353/1.m3u8
甘肃卫视,http://101.207.178.2/pltv/88888888/224/3221227125/1.m3u8
广东卫视,http://101.207.178.2/pltv/88888888/224/3221227361/1.m3u8
珠江卫视,http://39.135.36.151:18890/000000001000/1000000004000011655/1.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000004000011655&owchid=ystenlive&owsid=1106497909461268935&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4vNKx96%2bA3ppi2THlI0VlIDxwgnRBxQnnbWKTW8MTwvyEFUHTa6diXnUM1ACyB1BC6aNBSsOM3YI3qaHRRxYZp
南方卫视,http://101.207.178.2/pltv/88888888/224/3221227143/1.m3u8
广西卫视,http://101.207.178.2/pltv/88888888/224/3221227141/1.m3u8
贵州卫视,http://101.207.178.2/pltv/88888888/224/3221227357/1.m3u8
海南卫视,http://101.207.178.2/pltv/88888888/224/3221227139/1.m3u8
河北卫视,http://101.207.178.2/pltv/88888888/224/3221227399/1.m3u8
河南卫视,http://101.207.178.2/pltv/88888888/224/3221227155/1.m3u8
黑龙江卫视,http://101.207.178.2/pltv/88888888/224/3221227347/1.m3u8
湖北卫视,http://101.207.178.2/pltv/88888888/224/3221227367/1.m3u8
湖南卫视,http://101.207.178.2/pltv/88888888/224/3221227369/1.m3u8
吉林卫视,http://101.207.178.2/pltv/88888888/224/3221227177/1.m3u8
江苏卫视,http://101.207.178.2/pltv/88888888/224/3221227421/1.m3u8
江西卫视,http://101.207.178.2/pltv/88888888/224/3221227355/1.m3u8
辽宁卫视,http://101.207.178.2/pltv/88888888/224/3221227345/1.m3u8
内蒙古卫视,http://101.207.178.2/pltv/88888888/224/3221227181/1.m3u8
宁夏卫视,http://101.207.178.2/pltv/88888888/224/3221227119/1.m3u8
青海卫视,http://101.207.178.2/pltv/88888888/224/3221227123/1.m3u8
山东卫视,http://101.207.178.2/pltv/88888888/224/3221227365/1.m3u8
山西卫视,http://101.207.178.2/pltv/88888888/224/3221227183/1.m3u8
陕西卫视,http://101.207.178.2/pltv/88888888/224/3221227127/1.m3u8
深圳卫视,http://101.207.178.2/pltv/88888888/224/3221227419/1.m3u8
四川卫视,http://101.207.178.2/pltv/88888888/224/3221227585/1.m3u8
天津卫视,http://101.207.178.2/pltv/88888888/224/3221227343/1.m3u8
西藏卫视,http://101.207.178.2/pltv/88888888/224/3221227131/1.m3u8
新疆卫视,http://101.207.178.3/pltv/88888888/224/3221227117/1.m3u8
云南卫视,http://101.207.178.2/pltv/88888888/224/3221227133/1.m3u8
浙江卫视,http://101.207.178.2/pltv/88888888/224/3221227351/1.m3u8
兵团卫视,http://v.btzx.com.cn:1935/live/weishi.stream/playlist.m3u8
卡通动漫,#genre#
PANDA卡通,http://101.207.178.2/pltv/88888888/224/3221227507/1.m3u8
金鹰卡通,http://101.207.178.2/pltv/88888888/224/3221227149/1.m3u8
KAKU少儿,http://101.207.178.2/pltv/88888888/224/3221227189/1.m3u8
哈哈炫动,http://101.207.178.2/pltv/88888888/224/3221227171/1.m3u8
优漫卡通,http://101.207.178.2/pltv/88888888/224/3221227167/1.m3u8
嘉佳卡通,http://39.135.36.158:18890/000000001000/1000000002000025964/1.m3u8?channel-id=ystenlive&Contentid=1000000002000025964&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000025964&owchid=ystenlive&owsid=1106497909461445399&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhTdKQ4wsazi%2bjWctAkM%2b3AyHZX%2bK23G5GXJY0zYdFr53ZLGcc%2fpaa0eBryrKOGOCn
iHOT爱幼教,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230086/index.m3u8
iHOT爱动漫,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230136/index.m3u8
黑莓动画,http://39.135.36.141:18890/000000001000/6497762188035533951/1.m3u8?channel-id=ystenlive&Contentid=6497762188035533951&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=6497762188035533951&owchid=ystenlive&owsid=1106497909461636297&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7yuzV0ONj3jLJ3hwVkzsTuqbBS2aSqqFpaY6XZKMHRlKo8mmc3pY99jwkF3YYIQ9U6aewUh4Nwm0T2s2uo6zdq
新闻频道,#genre#
凤凰卫视中文台HD,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
凤凰卫视资讯台HD,http://117.169.120.170:8080/live/fhzixun/.m3u8
PANDA熊猫新闻[1920*1080],http://101.207.178.2/pltv/88888888/224/3221227509/1.m3u8
BBC World News,http://cloud-play.hhalloy.com/live/6d735caeaf70f8901aa00f86aefc4dde.flv
东森财经新闻[HD],http://cloud-play.hhalloy.com/live/10e21c98ff74745141a386d91da24c56.flv
东森新闻[HD],http://cloud-play.hhalloy.com/live/b237f97b0e9e21e88e0bdaae40730332.flv
非凡新闻[HD],http://cloud-play.hhalloy.com/live/408a2834f703f2162d0d5b5789344c39.flv
寰宇新闻[HD],http://cloud-play.hhalloy.com/live/4677cf6625ce01b236bbb58f99094d51.flv
寰宇新闻2台,http://cloud-play.hhalloy.com/live/0d192b1fb482857fb4694a12c2718302.flv
中视新闻[HD],http://cloud-play.hhalloy.com/live/cf4d66edc142b2f0cc8c71bca56b2268.flv
中天新闻[HD],http://cloud-play.hhalloy.com/live/e1a397539e76f45bbbf39d1467024aa3.flv
SKY NEWS,http://cloud-play.hhalloy.com/live/64a4807c0cf482cffe922d7b8f091303.flv
影视频道,#genre#
CCTV6,http://39.135.36.140:18890/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000016466&owchid=ystenlive&owsid=1106497909461115566&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRPL4aTeGJNlZwIkZROfGAKEC3iG4uOUkYNIdPRliCqBi8AjSQtKTBHB8b3LPXJcIA
峨眉电影,http://101.207.178.2/pltv/88888888/224/3221227481/1.m3u8
AXN,http://cloud-play.hhalloy.com/live/c762110b3eef8bcccce5863643dd66aa.flv
Cinema World,http://cloud-play.hhalloy.com/live/357252de83720e30d40c00bfba69c497.flv
CINEMAX,http://cloud-play.hhalloy.com/live/9bece52b2f72795cc2f588f3d9e4eed3.flv
CatchPlay电影台,http://cloud-play.hhalloy.com/live/65e80e1e0cd763a0302d7aa2a1135b0b.flv
FOX MOVIES[HD],http://cloud-play.hhalloy.com/live/b3d2208824d1ca27dad3068e376ab557.flv
FOX家庭影院,http://cloud-play.hhalloy.com/live/440b3d3c474813d7ead7d3a795978e69.flv
HBO Family,http://cloud-play.hhalloy.com/live/7e7ed5cc99029fd0d27e25009d7abdac.flv
HBO HD,http://cloud-play.hhalloy.com/live/13e83b20bc716e68221da438d761d352.flv
HBO Hits,http://cloud-play.hhalloy.com/live/c971b59822c6a91fab4bad8ca9b45f6b.flv
HBO Signature,http://cloud-play.hhalloy.com/live/fcdd3a3c591bdd0b07a17a92cb555cc1.flv
LS TIME龙祥电影,http://cloud-play.hhalloy.com/live/a5da9875c963d704ac5dd8f866869723.flv
Warner TV,http://cloud-play.hhalloy.com/live/a645bdeafb1216c23352144c3505bd8c.flv
爱尔达影视,http://cloud-play.hhalloy.com/live/0916fef64c4baab95f7097d001e4c27e.flv
采昌影剧台,http://cloud-play.hhalloy.com/live/b93ac92b703885f3cfe39bad8aa689d1.flv
东森电影[HD],http://cloud-play.hhalloy.com/live/d2325cfdfd53364263d307573f78e3ce.flv
东森洋片[HD],http://cloud-play.hhalloy.com/live/24b15906d2250c062c0f0b5339e166b2.flv
好莱坞电影[HD],http://cloud-play.hhalloy.com/live/8e678565884cdebd00f8b3121b3b7ee1.flv
华艺影剧台,http://cloud-play.hhalloy.com/live/49d33b7521ceef2115572e8906e9f906.flv
靖天电影,http://cloud-play.hhalloy.com/live/5634d5c8ee5afeb118df8decf5eb6c56.flv
龙华电影,http://cloud-play.hhalloy.com/live/0e5dee9e8021ce3b9ec9bb78e9710555.flv
龙华经典,http://cloud-play.hhalloy.com/live/669a67f26ad4b9f68664bfcaefc9553e.flv
龙华偶像,http://cloud-play.hhalloy.com/live/046d62141df9366aa54a66b22e095e24.flv
龙华洋片,http://cloud-play.hhalloy.com/live/b7829653660ec5e84c70e7f3a01e1e6c.flv
龙华影剧,http://cloud-play.hhalloy.com/live/d2e1d697b31906f91d7e19a5f06f64ed.flv
美亚电影,http://cloud-play.hhalloy.com/live/4a1141f101530bff4fc0e9229625e6b5.flv
欧洲电影,http://cloud-play.hhalloy.com/live/2d2f46a778c93f01b614213456fc97fc.flv
纬来电影,http://cloud-play.hhalloy.com/live/4f10b67646969a422a5490deaaabbc69.flv
卫视电影台,http://cloud-play.hhalloy.com/live/4499fb1dcef8c7a9f64276bf71bfc5b4.flv
星卫HD电影,http://cloud-play.hhalloy.com/live/41e05f3849c21412aa8b347f18adb3f6.flv
影迷电影台,http://cloud-play.hhalloy.com/live/991d0a1e4fc3c270d037fae11c587741.flv
影迷纪实台,http://cloud-play.hhalloy.com/live/a1d2d2be053776bb01c1aac37ac2dee4.flv
东方电影,http://117.156.28.57/PLTV/88888888/224/3221225656/index.m3u8
PANDA热血,http://101.207.178.2/pltv/88888888/224/3221227517/1.m3u8
PANDA体娱,http://101.207.178.2/pltv/88888888/224/3221227519/1.m3u8
PANDA影院,http://101.207.178.2/pltv/88888888/224/3221227511/1.m3u8
iHOT爱奇谈,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230023/index.m3u8
iHOT爱世界,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230046/index.m3u8
iHOT爱怀旧,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230049/index.m3u8
iHOT爱江湖,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230074/index.m3u8
iHOT爱浪漫,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230005/index.m3u8?fmt=ts2hls
iHOT爱院线,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230019/index.m3u8?fmt=ts2hls
iHOT爱喜剧,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230022/index.m3u8?fmt=ts2hls
iHOT爱科幻,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230025/index.m3u8?fmt=ts2hls
iHOT爱娱乐,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230077/index.m3u8
iHOT爱军武,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230083/index.m3u8
iHOT爱解密,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230080/index.m3u8
iHOT爱谍战,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230092/index.m3u8
iHOT爱猎奇,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230097/index.m3u8
iHOT爱悬疑,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230098/index.m3u8
iHOT爱历史,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230100/index.m3u8
iHOT爱经典,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230101/index.m3u8
iHOT爱都市,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230104/index.m3u8
iHOT爱科学,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230106/index.m3u8
iHOT爱时尚,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230109/index.m3u8
iHOT爱家庭,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230118/index.m3u8
iHOT爱青春,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230130/index.m3u8
NewTV爱情喜剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8
NewTV超级电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225806/1.m3u8
NewTV超级电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225928/1.m3u8
NewTV超级电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
NewTV超级综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8
NewTV潮妈辣婆,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226107/1.m3u8
NewTV动作电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8
NewTV古装剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8
NewTV家庭剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8
NewTV金牌综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225884/1.m3u8
NewTV惊悚悬疑,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225885/1.m3u8
NewTV精品大剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225889/1.m3u8
NewTV军旅剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225887/1.m3u8
电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226692/1.m3u8
电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226708/1.m3u8
电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226712/1.m3u8
电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226736/1.m3u8
电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226754/1.m3u8
电影-李连杰,https://js.hls.huya.com/huyalive/94525224-2460686093-10568566295157014528-2789253848-10057-A-0-1_1200.m3u8
电影-金庸电影,https://aldirect.hls.huya.com/huyalive/29359996-2689645314-11551938661469650944-2847687586-10057-A-0-1_1200.m3u8
电影-黄渤,https://aldirect.hls.huya.com/huyalive/30765679-2554414680-10971127511022305280-3048991634-10057-A-0-1_1200.m3u8
电影-吴京,https://aldirect.hls.huya.com/huyalive/30765679-2554414705-10971127618396487680-3048991636-10057-A-0-1_1200.m3u8
电影-周润发,https://aldirect.hls.huya.com/huyalive/94525224-2460685774-10568564925062447104-2789253840-10057-A-0-1_1200.m3u8
